id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
73557,1999.pkl,other,M,SP,PPB,Sudeste,other,,50-60
73558,1999.pkl,undergraduate,M,SP,PFL,Sudeste,other,,0-30
73559,1999.pkl,high school,M,SP,PSDB,Sudeste,other,BRANCA,40-50
73560,1999.pkl,other,M,SP,PSDB,Sudeste,other,BRANCA,50-60
73561,1999.pkl,other,F,SP,PT,Sudeste,other,BRANCA,50-60
73564,1999.pkl,high school,M,SP,PPB,Sudeste,other,,40-50
73565,1999.pkl,undergraduate,M,SP,PL*,Sudeste,businessperson/entrepreneur,,40-50
73567,1999.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73568,1999.pkl,undergraduate,M,RJ,PDT,Sudeste,broker/economist/banker,PARDA,40-50
73569,1999.pkl,high school,M,DF,PRONA,Distrito Federal,other,,30-40
73570,1999.pkl,other,M,PR,PFL,Sul,other,,50-60
73571,1999.pkl,other,M,MT,PTB,Centro-Oeste,other,,40-50
73572,1999.pkl,undergraduate,M,MG,PT,Sudeste,other,,30-40
73573,1999.pkl,high school,M,BA,PFL,Nordeste,other,,30-40
73574,1999.pkl,elementary school,M,BA,PMDB,Nordeste,media worker,,40-50
73575,1999.pkl,other,M,PE,PFL,Nordeste,other,,50-60
73576,1999.pkl,high school,M,RJ,PFL,Sudeste,other,,40-50
73577,1999.pkl,undergraduate,M,RS,PT,Sul,social scientist/historian,,40-50
73578,1999.pkl,other,M,RJ,PSB,Sudeste,other,,50-60
73579,1999.pkl,undergraduate,M,DF,PMDB,Distrito Federal,other,PARDA,40-50
73580,1999.pkl,undergraduate,M,DF,PMDB,Distrito Federal,publicist,,30-40
73581,1999.pkl,undergraduate,M,ES,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73582,1999.pkl,other,M,AL,PSDB,Nordeste,other,,50-60
73583,1999.pkl,other,M,RO,PPB,Norte,other,,40-50
73584,1999.pkl,undergraduate,M,SP,PSDB,Sudeste,university professor,BRANCA,50-60
73585,1999.pkl,other,M,SP,PV,Sudeste,other,,40-50
73586,1999.pkl,undergraduate,M,MG,PMDB,Sudeste,judge/lawyer/prosecutor,BRANCA,30-40
73587,1999.pkl,high school,M,AC,PSL,Norte,accountant,,30-40
73588,1999.pkl,other,M,CE,PMDB,Nordeste,other,BRANCA,60-70
73589,1999.pkl,undergraduate,M,CE,PMDB,Nordeste,broker/economist/banker,,30-40
73590,1999.pkl,undergraduate,M,AL,PT,Nordeste,other,,40-50
73591,1999.pkl,high school,M,PR,PSDB,Sul,other,BRANCA,40-50
73592,1999.pkl,undergraduate,F,TO,PFL,Norte,health professional,,30-40
73593,1999.pkl,high school,M,TO,PMDB,Norte,public servant,,30-40
73594,1999.pkl,undergraduate,F,TO,PFL,Norte,university professor,,40-50
73595,1999.pkl,undergraduate,M,SP,PFL,Sudeste,other,,40-50
73596,1999.pkl,undergraduate,M,MG,PSDB,Sudeste,businessperson/entrepreneur,,40-50
73597,1999.pkl,other,M,MA,PDT,Nordeste,other,,40-50
73598,1999.pkl,other,M,MG,PL*,Sudeste,other,,60-70
73599,1999.pkl,high school,M,RS,PTB,Sul,media worker,,40-50
73600,1999.pkl,other,M,MT,PMDB,Centro-Oeste,other,,40-50
73601,1999.pkl,high school,M,PR,PDT,Sul,other,,60-70
73602,1999.pkl,other,M,MS,PT,Centro-Oeste,other,,40-50
73603,1999.pkl,undergraduate,M,SP,PT,Sudeste,other,,30-40
73604,1999.pkl,undergraduate,M,SP,PT,Sudeste,other,BRANCA,50-60
