id,file,education,gender,siglaUf,siglaPartido,region,occupation,ethnicity,age_group
73559,51.pkl,high school,M,SP,PSDB,Sudeste,other,BRANCA,40-50
73560,51.pkl,other,M,SP,PSDB,Sudeste,other,BRANCA,50-60
73561,51.pkl,other,F,SP,PT,Sudeste,other,BRANCA,50-60
73564,51.pkl,high school,M,SP,PPB,Sudeste,other,,40-50
73565,51.pkl,undergraduate,M,SP,others,Sudeste,businessperson/entrepreneur,,40-50
73567,51.pkl,other,M,SP,PMDB,Sudeste,other,,50-60
73568,51.pkl,undergraduate,M,RJ,PDT,Sudeste,broker/economist/banker,PARDA,40-50
73569,51.pkl,high school,M,DF,others,Distrito Federal,other,,30-40
73570,51.pkl,other,M,PR,PFL,Sul,other,,50-60
73571,51.pkl,other,M,MT,PTB,Centro-Oeste,other,,40-50
73572,51.pkl,undergraduate,M,MG,PT,Sudeste,other,,30-40
73573,51.pkl,high school,M,BA,PFL,Nordeste,other,,30-40
73574,51.pkl,elementary school,M,BA,PMDB,Nordeste,others,,40-50
73575,51.pkl,other,M,PE,PFL,Nordeste,other,,50-60
73576,51.pkl,high school,M,RJ,PFL,Sudeste,other,,40-50
73577,51.pkl,undergraduate,M,RS,PT,Sul,others,,40-50
73578,51.pkl,other,M,RJ,PSB,Sudeste,other,,50-60
73579,51.pkl,undergraduate,M,DF,PMDB,Distrito Federal,other,PARDA,40-50
73580,51.pkl,undergraduate,M,DF,PMDB,Distrito Federal,others,,30-40
73581,51.pkl,undergraduate,M,ES,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73582,51.pkl,other,M,AL,PSDB,Nordeste,other,,50-60
73583,51.pkl,other,M,RO,PPB,Norte,other,,40-50
73584,51.pkl,undergraduate,M,SP,PSDB,Sudeste,university professor,BRANCA,50-60
73585,51.pkl,other,M,SP,others,Sudeste,other,,40-50
73586,51.pkl,undergraduate,M,MG,PMDB,Sudeste,judge/lawyer/prosecutor,BRANCA,30-40
73587,51.pkl,high school,M,AC,others,Norte,others,,30-40
73588,51.pkl,other,M,CE,PMDB,Nordeste,other,BRANCA,60-70
73589,51.pkl,undergraduate,M,CE,PMDB,Nordeste,broker/economist/banker,,30-40
73590,51.pkl,undergraduate,M,AL,PT,Nordeste,other,,40-50
73591,51.pkl,high school,M,PR,PSDB,Sul,other,BRANCA,40-50
73592,51.pkl,undergraduate,F,TO,PFL,Norte,others,,30-40
73593,51.pkl,high school,M,TO,PMDB,Norte,public servant,,30-40
73594,51.pkl,undergraduate,F,TO,PFL,Norte,university professor,,40-50
73595,51.pkl,undergraduate,M,SP,PFL,Sudeste,other,,40-50
73596,51.pkl,undergraduate,M,MG,PSDB,Sudeste,businessperson/entrepreneur,,40-50
73597,51.pkl,other,M,MA,PDT,Nordeste,other,,40-50
73598,51.pkl,other,M,MG,others,Sudeste,other,,60-70
73599,51.pkl,high school,M,RS,PTB,Sul,others,,40-50
73600,51.pkl,other,M,MT,PMDB,Centro-Oeste,other,,40-50
73601,51.pkl,high school,M,PR,PDT,Sul,other,,60-70
73602,51.pkl,other,M,MS,PT,Centro-Oeste,other,,40-50
73603,51.pkl,undergraduate,M,SP,PT,Sudeste,other,,30-40
73604,51.pkl,undergraduate,M,SP,PT,Sudeste,other,BRANCA,50-60
73643,51.pkl,undergraduate,M,SP,PPB,Sudeste,other,,40-50
73645,51.pkl,undergraduate,F,SP,PSDB,Sudeste,judge/lawyer/prosecutor,,50-60
73646,51.pkl,other,M,MT,PSDB,Centro-Oeste,other,,40-50
73651,51.pkl,elementary school,M,MT,PFL,Centro-Oeste,other,,40-50
73652,51.pkl,high school,F,MT,PMDB,Centro-Oeste,other,,40-50
73653,51.pkl,undergraduate,M,MT,others,Centro-Oeste,dentist/medic,,40-50
73654,51.pkl,undergraduate,M,DF,PCdoB,Distrito Federal,dentist/medic,BRANCA,30-40
73658,51.pkl,other,M,DF,PPB,Distrito Federal,other,,60-70
73659,51.pkl,other,F,DF,PT,Distrito Federal,other,,50-60
73660,51.pkl,other,M,DF,PFL,Distrito Federal,other,,60-70
73661,51.pkl,other,M,DF,PPB,Distrito Federal,other,,50-60
73662,51.pkl,other,M,GO,PCdoB,Centro-Oeste,other,,50-60
73663,51.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73666,51.pkl,other,M,GO,PSDB,Centro-Oeste,other,BRANCA,40-50
73667,51.pkl,undergraduate,F,GO,PSDB,Centro-Oeste,other,,60-70
73672,51.pkl,undergraduate,M,GO,others,Centro-Oeste,dentist/medic,,40-50
73673,51.pkl,other,M,GO,PT,Centro-Oeste,other,,50-60
73674,51.pkl,other,M,GO,PPB,Centro-Oeste,other,PARDA,50-60
73677,51.pkl,other,M,GO,PFL,Centro-Oeste,other,,40-50
73678,51.pkl,high school,M,GO,PMDB,Centro-Oeste,other,,30-40
73681,51.pkl,other,M,BA,PFL,Nordeste,other,,50-60
73682,51.pkl,undergraduate,M,SP,PMDB,Sudeste,public servant,BRANCA,40-50
73683,51.pkl,high school,M,RS,PT,Sul,others,,30-40
73684,51.pkl,undergraduate,M,RS,PT,Sul,broker/economist/banker,,30-40
73685,51.pkl,other,M,AL,others,Nordeste,other,,60-70
73686,51.pkl,undergraduate,F,RS,PT,Sul,other,,30-40
73687,51.pkl,undergraduate,F,SE,PCdoB,Nordeste,other,,30-40
73688,51.pkl,high school,M,SP,PSB,Sudeste,other,,60-70
73689,51.pkl,other,M,RS,PT,Sul,other,,50-60
73690,51.pkl,undergraduate,M,RN,PDT,Nordeste,dentist/medic,,40-50
73691,51.pkl,other,M,PA,PSDB,Norte,other,,50-60
73692,51.pkl,undergraduate,M,RS,PMDB,Sul,dentist/medic,BRANCA,40-50
73693,51.pkl,undergraduate,M,RJ,PMDB,Sudeste,dentist/medic,,40-50
73758,51.pkl,undergraduate,M,MS,PMDB,Centro-Oeste,other,,40-50
73760,51.pkl,other,F,MS,PSDB,Centro-Oeste,other,,50-60
73761,51.pkl,other,M,MS,PTB,Centro-Oeste,other,,60-70
73764,51.pkl,high school,M,PR,PFL,Sul,other,,40-50
73765,51.pkl,other,M,PR,PFL,Sul,other,,60-70
73767,51.pkl,other,M,PR,PSDB,Sul,other,,50-60
73768,51.pkl,undergraduate,M,PR,PPB,Sul,other,BRANCA,40-50
73771,51.pkl,undergraduate,M,PR,PT,Sul,other,,40-50
73772,51.pkl,undergraduate,M,PR,PMDB,Sul,other,BRANCA,30-40
73775,51.pkl,other,M,PR,PTB,Sul,other,,40-50
73776,51.pkl,high school,M,PR,PPB,Sul,other,,40-50
73777,51.pkl,undergraduate,M,PR,PFL,Sul,engineer/architect,,40-50
73778,51.pkl,other,M,PR,PSDB,Sul,other,BRANCA,40-50
73780,51.pkl,other,M,PR,PSDB,Sul,other,,50-60
73781,51.pkl,other,M,PR,PPB,Sul,other,BRANCA,50-60
73782,51.pkl,undergraduate,M,PR,PSDB,Sul,others,,50-60
73783,51.pkl,other,M,PR,PT,Sul,other,,50-60
73788,51.pkl,undergraduate,M,PR,PPB,Sul,engineer/architect,BRANCA,30-40
73790,51.pkl,other,M,PR,PFL,Sul,other,,50-60
73792,51.pkl,other,M,PR,PFL,Sul,other,,50-60
73793,51.pkl,other,M,SC,PMDB,Sul,other,BRANCA,40-50
73794,51.pkl,other,M,SC,PMDB,Sul,other,BRANCA,50-60
73795,51.pkl,undergraduate,M,SC,PPB,Sul,other,BRANCA,40-50
73817,51.pkl,other,M,MS,PMDB,Centro-Oeste,other,BRANCA,40-50
73825,51.pkl,high school,M,RJ,PFL,Sudeste,other,,30-40
73827,51.pkl,high school,M,TO,PSDB,Norte,other,,30-40
73828,51.pkl,other,M,AM,PFL,Norte,other,,40-50
73829,51.pkl,other,M,RJ,PPB,Sudeste,other,,30-40
73832,51.pkl,undergraduate,M,CE,PFL,Nordeste,judge/lawyer/prosecutor,,30-40
73833,51.pkl,undergraduate,M,AC,PFL,Norte,engineer/architect,,40-50
73873,51.pkl,other,M,SC,PMDB,Sul,other,,40-50
73874,51.pkl,undergraduate,M,SC,PPB,Sul,other,BRANCA,30-40
73875,51.pkl,undergraduate,M,SC,PFL,Sul,public servant,,40-50
73884,51.pkl,other,M,SC,PFL,Sul,other,,50-60
73885,51.pkl,undergraduate,M,SC,PDT,Sul,dentist/medic,,40-50
73886,51.pkl,no education,M,RS,PT,Sul,other,,50-60
73888,51.pkl,undergraduate,M,RS,PDT,Sul,engineer/architect,,40-50
73889,51.pkl,other,M,RS,PPB,Sul,other,,40-50
73891,51.pkl,other,M,RS,PMDB,Sul,other,BRANCA,50-60
73893,51.pkl,undergraduate,M,RS,PDT,Sul,judge/lawyer/prosecutor,BRANCA,30-40
73894,51.pkl,other,F,RS,PT,Sul,other,,60-70
73895,51.pkl,other,M,RS,PSB,Sul,other,,50-60
73896,51.pkl,undergraduate,M,RS,PPB,Sul,others,,40-50
73897,51.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73900,51.pkl,other,M,RS,PPB,Sul,other,,50-60
73902,51.pkl,undergraduate,M,RS,PT,Sul,other,,30-40
73904,51.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73906,51.pkl,other,M,RS,PSDB,Sul,other,,50-60
73907,51.pkl,undergraduate,M,RS,PMDB,Sul,other,,40-50
73909,51.pkl,other,M,RS,PTB,Sul,other,,60-70
73910,51.pkl,high school,M,RS,PT,Sul,other,,40-50
73912,51.pkl,other,M,PI,PT,Nordeste,other,,40-50
73913,51.pkl,other,M,PI,PPB,Nordeste,other,,40-50
73914,51.pkl,high school,M,BA,PT,Nordeste,other,,30-40
73915,51.pkl,other,M,RN,others,Nordeste,other,,50-60
73916,51.pkl,undergraduate,M,SC,PMDB,Sul,judge/lawyer/prosecutor,,30-40
73917,51.pkl,undergraduate,M,RS,PMDB,Sul,broker/economist/banker,,40-50
73918,51.pkl,undergraduate,M,BA,PCdoB,Nordeste,other,,40-50
73919,51.pkl,undergraduate,M,MG,PDT,Sudeste,other,,60-70
73979,51.pkl,other,M,RR,PMDB,Norte,other,,50-60
73980,51.pkl,other,M,RR,PFL,Norte,other,,50-60
73981,51.pkl,other,M,RR,PTB,Norte,other,,40-50
73982,51.pkl,undergraduate,M,RR,PSDB,Norte,broker/economist/banker,BRANCA,40-50
73983,51.pkl,other,M,RR,PFL,Norte,other,,40-50
73984,51.pkl,undergraduate,M,RR,others,Norte,other,,40-50
73985,51.pkl,other,M,RR,others,Norte,other,,40-50
73986,51.pkl,other,M,RR,PFL,Norte,other,,40-50
73987,51.pkl,undergraduate,M,AP,PSDB,Norte,others,,40-50
73989,51.pkl,other,M,RS,PPB,Sul,other,,50-60
73990,51.pkl,undergraduate,M,RS,PT,Sul,judge/lawyer/prosecutor,,40-50
73991,51.pkl,high school,M,RS,PMDB,Sul,other,,50-60
73992,51.pkl,undergraduate,F,RS,PSDB,Sul,other,BRANCA,50-60
73993,51.pkl,other,M,SP,PSDB,Sudeste,other,,50-60
73994,51.pkl,undergraduate,M,RS,PPB,Sul,other,,40-50
73996,51.pkl,other,M,RS,PSDB,Sul,other,,60-70
74000,51.pkl,high school,M,PR,PTB,Sul,others,,40-50
74001,51.pkl,undergraduate,M,BA,PFL,Nordeste,other,,40-50
74005,51.pkl,undergraduate,M,AL,PMDB,Nordeste,other,,40-50
74014,51.pkl,undergraduate,F,RJ,PSB,Sudeste,dentist/medic,,40-50
74017,51.pkl,undergraduate,M,RJ,PSDB,Sudeste,engineer/architect,BRANCA,40-50
74018,51.pkl,other,M,MA,PMDB,Nordeste,other,,40-50
74021,51.pkl,undergraduate,F,GO,PMDB,Centro-Oeste,other,,40-50
74023,51.pkl,undergraduate,M,PB,PMDB,Nordeste,other,,40-50
74024,51.pkl,other,M,RJ,PSDB,Sudeste,other,,50-60
74065,51.pkl,other,F,AP,PSDB,Norte,other,BRANCA,30-40
74069,51.pkl,other,M,AP,PFL,Norte,other,,50-60
74072,51.pkl,other,M,PA,PSDB,Norte,other,,50-60
74075,51.pkl,other,F,PA,PMDB,Norte,other,BRANCA,50-60
74076,51.pkl,other,M,PA,PPB,Norte,other,PARDA,60-70
74077,51.pkl,other,M,PA,PDT,Norte,other,BRANCA,50-60
74079,51.pkl,undergraduate,M,PA,PMDB,Norte,judge/lawyer/prosecutor,BRANCA,30-40
74080,51.pkl,other,M,PA,PSDB,Norte,other,PARDA,40-50
74082,51.pkl,other,M,PA,PT,Norte,other,,40-50
74084,51.pkl,other,M,PA,PFL,Norte,other,PARDA,40-50
74085,51.pkl,high school,F,PA,PCdoB,Norte,other,,40-50
74087,51.pkl,other,M,PA,PFL,Norte,other,,30-40
74089,51.pkl,undergraduate,M,AM,PSDB,Norte,other,,50-60
74090,51.pkl,other,M,AM,PFL,Norte,other,PARDA,40-50
74091,51.pkl,other,M,AM,PFL,Norte,other,,50-60
74093,51.pkl,other,M,AM,PFL,Norte,other,,50-60
74094,51.pkl,other,M,AM,PPB,Norte,other,BRANCA,50-60
